2023-03-02 19:18:38.971 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.20.Final
2023-03-02 19:18:38.987 [main] INFO  c.mashang.xiaomishopping.XiaomiShoppingApplication - Starting XiaomiShoppingApplication using Java 17.0.6 on MARGUERITE with PID 13136 (C:\Users\yorky\Desktop\STUDY\Java\xiaomi-shopping\target\classes started by yorky in C:\Users\yorky\Desktop\STUDY\Java\xiaomi-shopping)
2023-03-02 19:18:38.987 [main] DEBUG c.mashang.xiaomishopping.XiaomiShoppingApplication - Running with Spring Boot v2.7.4, Spring v5.3.23
2023-03-02 19:18:38.988 [main] INFO  c.mashang.xiaomishopping.XiaomiShoppingApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-02 19:18:40.017 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-03-02 19:18:40.025 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-03-02 19:18:40.025 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-03-02 19:18:40.025 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-03-02 19:18:40.109 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/xiaomi] - Initializing Spring embedded WebApplicationContext
2023-03-02 19:18:40.109 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1070 ms
2023-03-02 19:18:40.811 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2023-03-02 19:18:40.823 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '/xiaomi'
2023-03-02 19:18:41.105 [main] INFO  c.mashang.xiaomishopping.XiaomiShoppingApplication - Started XiaomiShoppingApplication in 2.427 seconds (JVM running for 3.192)
2023-03-02 21:15:37.950 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mashang.xiaomishopping.XiaomiShoppingApplicationTests], using SpringBootContextLoader
2023-03-02 21:15:37.958 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.mashang.xiaomishopping.XiaomiShoppingApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-03-02 21:15:37.959 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.mashang.xiaomishopping.XiaomiShoppingApplicationTests]: XiaomiShoppingApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-03-02 21:15:38.069 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.mashang.xiaomishopping.XiaomiShoppingApplication for test class com.mashang.xiaomishopping.XiaomiShoppingApplicationTests
2023-03-02 21:15:38.159 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-03-02 21:15:38.174 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@38f116f6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5286c33a, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6e6d5d29, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5c530d1e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6c25e6c4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@85e6769, org.springframework.test.context.transaction.TransactionalTestExecutionListener@c5ee75e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@48a12036, org.springframework.test.context.event.EventPublishingTestExecutionListener@bf1ec20, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@70efb718, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@b70da4c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4a11eb84, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4e858e0a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@435fb7b5, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@4e70a728]
2023-03-02 21:15:38.536 [main] INFO  c.m.xiaomishopping.XiaomiShoppingApplicationTests - Starting XiaomiShoppingApplicationTests using Java 17.0.6 on MARGUERITE with PID 19944 (started by yorky in C:\Users\yorky\Desktop\STUDY\Java\xiaomi-shopping)
2023-03-02 21:15:38.538 [main] DEBUG c.m.xiaomishopping.XiaomiShoppingApplicationTests - Running with Spring Boot v2.7.4, Spring v5.3.23
2023-03-02 21:15:38.538 [main] INFO  c.m.xiaomishopping.XiaomiShoppingApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-03-02 21:15:38.541 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.20.Final
2023-03-02 21:15:42.480 [main] INFO  c.m.xiaomishopping.XiaomiShoppingApplicationTests - Started XiaomiShoppingApplicationTests in 4.266 seconds (JVM running for 5.289)
2023-03-02 21:18:39.272 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mashang.xiaomishopping.XiaomiShoppingApplicationTests], using SpringBootContextLoader
2023-03-02 21:18:39.277 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.mashang.xiaomishopping.XiaomiShoppingApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-03-02 21:18:39.277 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.mashang.xiaomishopping.XiaomiShoppingApplicationTests]: XiaomiShoppingApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-03-02 21:18:39.356 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.mashang.xiaomishopping.XiaomiShoppingApplication for test class com.mashang.xiaomishopping.XiaomiShoppingApplicationTests
2023-03-02 21:18:39.451 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-03-02 21:18:39.466 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@38f116f6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5286c33a, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6e6d5d29, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5c530d1e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6c25e6c4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@85e6769, org.springframework.test.context.transaction.TransactionalTestExecutionListener@c5ee75e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@48a12036, org.springframework.test.context.event.EventPublishingTestExecutionListener@bf1ec20, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@70efb718, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@b70da4c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4a11eb84, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4e858e0a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@435fb7b5, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@4e70a728]
2023-03-02 21:18:39.728 [main] INFO  c.m.xiaomishopping.XiaomiShoppingApplicationTests - Starting XiaomiShoppingApplicationTests using Java 17.0.6 on MARGUERITE with PID 8400 (started by yorky in C:\Users\yorky\Desktop\STUDY\Java\xiaomi-shopping)
2023-03-02 21:18:39.728 [main] DEBUG c.m.xiaomishopping.XiaomiShoppingApplicationTests - Running with Spring Boot v2.7.4, Spring v5.3.23
2023-03-02 21:18:39.730 [main] INFO  c.m.xiaomishopping.XiaomiShoppingApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-03-02 21:18:39.739 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.20.Final
2023-03-02 21:18:43.631 [main] INFO  c.m.xiaomishopping.XiaomiShoppingApplicationTests - Started XiaomiShoppingApplicationTests in 4.13 seconds (JVM running for 5.018)
2023-03-02 21:24:07.334 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.20.Final
2023-03-02 21:24:07.342 [main] INFO  c.mashang.xiaomishopping.XiaomiShoppingApplication - Starting XiaomiShoppingApplication using Java 17.0.6 on MARGUERITE with PID 7460 (C:\Users\yorky\Desktop\STUDY\Java\xiaomi-shopping\target\classes started by yorky in C:\Users\yorky\Desktop\STUDY\Java\xiaomi-shopping)
2023-03-02 21:24:07.343 [main] DEBUG c.mashang.xiaomishopping.XiaomiShoppingApplication - Running with Spring Boot v2.7.4, Spring v5.3.23
2023-03-02 21:24:07.343 [main] INFO  c.mashang.xiaomishopping.XiaomiShoppingApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-02 21:24:08.692 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-03-02 21:24:08.703 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-03-02 21:24:08.703 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-03-02 21:24:08.704 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-03-02 21:24:08.869 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/xiaomi] - Initializing Spring embedded WebApplicationContext
2023-03-02 21:24:08.869 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1473 ms
2023-03-02 21:24:09.812 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2023-03-02 21:24:09.824 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '/xiaomi'
2023-03-02 21:24:10.067 [main] INFO  c.mashang.xiaomishopping.XiaomiShoppingApplication - Started XiaomiShoppingApplication in 3.067 seconds (JVM running for 3.684)
